z,y,x,trajectory,frame,dataframe_index
0.30218412795540706,0.8830020914831361,8.700708995932636,0,0,0
0.17183731787017129,1.296664154579543,8.413927630581544,0,1,0
0.06750200878187064,1.4055707251802405,8.328035152402151,0,2,0
-0.3084012792743644,1.5089082929997926,8.353523141932863,0,3,0
-0.31476884374612674,-6.263629180404716,-4.585837788234641,1,0,0
-0.3472297314719053,5.331518407294055,-2.567468818110565,2,0,0
-0.047820837753866766,4.529185585382643,-4.2806685255394825,3,0,0
-0.31863146218195876,0.3542106300479065,-8.657560575355856,4,0,0
-0.3462055705272865,5.637401345099817,-6.043028986890371,5,0,0
-0.251109022254486,5.598061545658166,-6.047167757091902,5,1,0
-0.29838920256608575,5.485017124626158,-6.025601623798698,5,2,0
0.12669288053661518,5.885404098023299,7.493233111739003,6,0,0
0.0989060266193113,6.412476512058917,7.543459737437171,6,1,0
0.28186894162799603,0.26555244539352296,-4.175008317528947,7,0,0
0.32633132892880706,0.4829243697758767,-4.509218154150386,7,1,0
0.28126159106015836,0.6821187943287398,-4.195407675582985,7,2,0
-0.11281362151584332,2.3228519036206485,6.846958750426435,8,0,0
-0.07690898692670113,2.0348150226901818,6.713890036408736,8,1,0
-0.11344636341961484,2.188688547934464,6.286949689460562,8,2,0
-0.276678051398979,1.8374067268378813,6.357046793785347,8,3,0
-0.30976290376799714,-0.6936429915092447,8.64821795842615,9,0,0
-0.3097442817924334,-0.9692546793436289,8.114477925184357,9,1,0
-0.05584105340094405,-0.8203174521169755,8.461565684157033,9,2,0
0.13235522656015264,-0.3013060714724772,8.699510917853276,9,3,0
0.08695319692668924,-0.30932560623450184,9.316350994068705,9,4,0
0.06716586729704546,-0.34059546441848193,8.911661497260402,9,5,0
0.383389885943946,-0.06156966293217833,8.732125435367536,9,6,0
-0.15285412511698393,-0.1976258251868712,8.757993804370814,9,7,0
-0.11804730187862507,-0.6133575413587744,-3.5402963059187473,10,0,0
0.3151562115507621,-3.0973358066957917,-9.181942672079117,11,0,0
0.2782279947996475,-3.322387836746461,-9.334456537688443,11,1,0
-0.1268445010505529,-3.7388705451437385,-9.00109707058335,11,2,0
0.21319005832596982,-3.8035637419430697,-9.015480886619605,11,3,0
-0.07328844206685804,-3.776876542718147,-8.939361217886177,11,4,0
-0.34465957964117916,0.7586847128196029,7.4657356585866514,12,0,0
-0.11818546082974019,-7.494383397006768,4.557896558349775,13,0,0
0.30715614903815197,-7.70014919228669,4.2399528726014415,13,1,0
0.2634951512488874,0.3262286623494647,-9.784899443022503,14,0,0
-0.3232205574283527,6.139315937041276,0.10833320226881887,15,0,0
0.2616996599671512,8.862935913623753,2.6916930403178894,16,0,0
0.13678846417230603,1.286750348404389,-6.898894284521211,17,0,0
-0.068365019270059,1.339824544445459,-6.513753452385692,17,1,0
-0.15824506956366777,-2.3123301248505808,-1.1223691126983917,18,0,0
-0.19791918642522374,-1.704555996070105,-1.2214957277032243,18,1,0
0.2689011992529055,-1.0634066241950078,-8.834160441204476,19,0,0
-0.13035088726152047,-1.2455995392094905,-8.495460994293246,19,1,0
-0.3293194508099968,-1.1326017305010865,-8.538365152349371,19,2,0
0.22101710663961419,-2.362338051530204,0.6986703979718684,20,0,0
0.09882906726151756,4.8784242303266865,6.940933280644346,21,0,0
-0.27401185159441266,2.074403341846855,-9.654533965289307,22,0,0
0.03987324188467121,7.3908549405365385,-1.7958464658746016,23,0,0
0.05761657900668099,7.7040964078511855,-1.7748966705904456,23,1,0
-0.1152665664144158,7.727759982054691,-1.5356101821381911,23,2,0
-0.02206065585044155,8.068644454796443,-1.5831689283063703,23,3,0
0.023584080228102294,7.983642632141478,-1.4943838478114018,23,4,0
0.270867124596323,8.408117551429305,-1.2678390575743401,23,5,0
-0.18836099417599755,8.091743679612845,-1.390895717607604,23,6,0
0.0221541610455325,7.82627614989642,-1.257247445363502,23,7,0
-0.23028744871450216,7.689272965529056,-1.436972775814073,23,8,0
-0.16253090863179445,7.979379464083971,-1.9008531321456814,23,9,0
0.1937466200993499,0.8270583455244767,8.53423135348949,24,0,0
0.03770896293399925,0.3092260462534634,-1.870937124932906,25,0,0
0.09427178163536082,-2.0673107524296506,-2.4700010403626025,26,0,0
0.2068903063682927,-1.6946406202467863,-9.056547248548792,27,0,0
0.16357051661930302,-1.4785911228104864,-9.637292585660193,27,1,0
0.24465632402163148,-1.3814859098348757,-9.465329766962428,27,2,0
0.24427560518529606,-0.9218275756274741,-9.299803304549927,27,3,0
-0.025986517234775304,-1.252108542631849,-4.202963426448129,28,0,0
